arch,algo,partition_mode,alpha,n_seeds,auc_mean,auc_std,test_auc_mean,energy_total_J_mean,energy_total_J_std,energy_model_J_mean,energy_model_J_std,steady_round_s_mean
lstm,fedadam,dirichlet,0.05,10,0.8765073584767812,0.014253290019084923,0.8652809030718036,14399.5684,397.92964281200346,3660.894473506772,107.46219414989211,1.7303730254221446
lstm,fedadam,dirichlet,0.1,10,0.8562331940142389,0.023707019915671024,0.8488509544880019,14030.107399999999,319.36498443567694,3711.5175199769974,245.6218822011731,1.691427668417343
lstm,fedadam,dirichlet,0.5,10,0.7942108680429134,0.02039422242824484,0.7863753700986502,13597.601,185.89071487062265,3546.067522794533,245.42634316000647,1.6301397480145847
lstm,fedadam,dirichlet,1.0,10,0.7750791710124995,0.007944616409925033,0.7649916444517162,13633.344500000001,78.70700917290898,3671.662432251191,119.61850887756007,1.6304457190060855
lstm,fedadam,dirichlet,5.0,10,0.7644468928704693,0.003698743055307725,0.7552456723376947,13491.1964,98.75690417068483,3525.061882364595,254.94939066658495,1.615039844705601
lstm,fedadam,iid,,10,0.9232981853522579,0.00082958937036388,0.9178173997595506,13493.2239,85.38202411183124,3514.087150355602,281.3641356612463,1.60913053088718
lstm,fedavg,dirichlet,0.05,10,0.8713973482178622,0.013973196914117105,0.860523316660313,14547.058299999999,452.27326985943444,3768.1406645660877,127.67185602035268,1.7522821086825746
lstm,fedavg,dirichlet,0.1,10,0.8422618494345689,0.030364448855461437,0.8360547805467256,14228.7107,295.1560645666216,3743.9208734113936,148.90910962948885,1.713042354824567
lstm,fedavg,dirichlet,0.5,10,0.7880406394393056,0.020934350416864603,0.7793806521599265,13683.9962,179.73457080916714,3722.593942233849,173.70675345298062,1.6441270204505536
lstm,fedavg,dirichlet,1.0,10,0.7666393721515906,0.007374190188274906,0.7570603661189316,13651.358100000001,110.42010114754204,3728.413885330558,217.41974209303268,1.639953907090004
lstm,fedavg,dirichlet,5.0,10,0.7567484322989859,0.003920368181245765,0.7475262571144721,13491.467800000002,83.21934828952527,3679.634534210575,106.41719714819368,1.6221845010314326
lstm,fedavg,iid,,10,0.9193307444899159,0.004643413291354348,0.9136096048881904,27823.73448,11960.925256889845,10473.526135193291,6534.264338170803,3.4818371741940273
lstm,fedavg,per_bs_dirichlet,0.05,5,0.912016643060988,0.006754068097563649,0.9059879178354787,35891.2914,88.20360983712983,8394.546667405866,6860.885444476356,4.485422983554878
lstm,fedavg,per_bs_dirichlet,0.5,5,0.8914767884660897,0.00363513988118683,0.8849203162192498,35731.131199999996,84.38397708214428,4124.605462168622,37.07694488214926,4.46047933944548
lstm,fedavg,per_bs_dirichlet,5.0,5,0.8506483999205443,0.0053773385917665045,0.8424294504543187,35590.8428,237.5324388429929,3988.211754198527,149.54989825562134,4.456100736483179
lstm,fedavg,per_bs_dirichlet,10.0,5,0.8400906027030267,0.007210580116540259,0.8308813965386476,35699.675800000005,134.9964832993822,8868.561892416788,6821.291513147688,4.467046737189245
lstm,fedavg,random_split,,5,0.7493609444449592,0.005019886456856389,0.7403095310533997,41389.8758,10307.824884819187,18340.876945368647,12239.234170876854,4.592075958155623
lstm,feddyn,dirichlet,0.05,10,0.8445504534570167,0.027436422300981266,0.8292510126822229,17365.7425,722.7180343455377,4249.194311961461,303.4605823946482,2.1085306386754974
lstm,feddyn,dirichlet,0.1,10,0.8231101654779944,0.034261542410491536,0.8123470647613662,16645.8907,573.515237125116,3944.2085225416304,304.9662627517215,2.0169643710357974
lstm,feddyn,dirichlet,0.5,10,0.7745487566719389,0.02438632310985832,0.7613726928190432,16118.492800000002,155.11339850702834,3991.864664007723,365.29259262622423,1.9533243095031891
lstm,feddyn,dirichlet,1.0,10,0.7574710260535201,0.012231011417986243,0.7441411605488739,16093.6436,164.87500841560097,4052.2698642176983,125.53762072242965,1.9421434664967083
lstm,feddyn,dirichlet,5.0,10,0.7460566266891968,0.0065736852281571955,0.7337548672505351,16068.911199999999,61.777522625412544,3977.6938397682193,304.96238443070376,1.9240802239890051
lstm,feddyn,iid,,10,0.9197785155729342,0.0006999135162069388,0.9140691506737133,15777.6364,113.73938105960596,3948.7578250996826,504.2979073898118,1.9144050805255621
lstm,fedprox,dirichlet,0.05,10,0.8713330943367847,0.01420361185849412,0.8609886989607591,14523.126999999999,445.2279848973755,3876.5697347495197,186.01624093071445,1.760748429972716
lstm,fedprox,dirichlet,0.1,10,0.8410167878321108,0.03055331665843162,0.8348649871558976,14246.594200000001,290.9870151386297,3660.232217940331,182.06945561527823,1.7186492481617013
lstm,fedprox,dirichlet,0.5,10,0.7845999415287713,0.021744094369758937,0.7762277234602013,13937.8595,120.35773422800835,3675.768953168833,303.02741784218153,1.6700066164286451
lstm,fedprox,dirichlet,1.0,10,0.7625359678174584,0.007735448829734734,0.7525083507074605,13872.161600000001,80.16401834599965,3565.2218137590767,261.5876572877053,1.6551918410291573
lstm,fedprox,dirichlet,5.0,10,0.7529046067883254,0.004092273987267675,0.7431681750860919,13755.3812,124.560673530613,3551.0138582817553,212.5539086212249,1.6413676018666739
lstm,fedprox,iid,,10,0.9210015307104559,0.0006063789322290614,0.9155461768918258,13562.877799999998,88.72873650477214,3646.6449020863292,274.0489506137743,1.6367384498769586
lstm,scaffold,dirichlet,0.05,10,0.8568750891057052,0.021410649890538282,0.8456166079096107,17223.6671,666.0487441932707,4175.322603232694,326.5301856460841,2.093512081618261
lstm,scaffold,dirichlet,0.1,10,0.829153146167519,0.03631479733612885,0.8219962439128959,16474.2262,534.6447894015035,4306.920471601582,214.47645426646767,2.002577806964065
lstm,scaffold,dirichlet,0.5,10,0.7815815546272686,0.025175087590383335,0.7707098840956074,15981.2589,155.07738673066132,3976.811930194354,268.6108996563358,1.9264612766227338
lstm,scaffold,dirichlet,1.0,10,0.7650240410211069,0.007222956202551444,0.7513248835521111,15980.613399999998,199.3796932038074,3901.832756981969,397.48191538478824,1.925954376326667
lstm,scaffold,dirichlet,5.0,10,0.7559941599416704,0.007166539150882497,0.7419330821845208,15760.6508,145.75669429398783,3975.046794824445,275.75392315212315,1.9119506997291489
lstm,scaffold,iid,,10,0.9190127093961598,0.0003947700853994637,0.9133037691326542,15734.379,71.40019465115097,4032.4554977933767,243.82802447856037,1.902126137656395
mamba,fedadam,dirichlet,0.05,10,0.8774575858654116,0.01863212197224924,0.8665145215609857,20524.1179,371.5100556896739,10591.503798406065,182.2546645463087,1.6763414057818327
mamba,fedadam,dirichlet,0.1,10,0.8647584047939632,0.026467740835901275,0.8579397437962759,20229.6041,260.37837469321045,10482.192129489958,326.06731941746597,1.6334774053458012
mamba,fedadam,dirichlet,0.5,10,0.7996287555446703,0.020341054706204422,0.7912649533685848,19888.514799999997,131.71139480090548,10500.92826696341,214.72592580043298,1.588577314097472
mamba,fedadam,dirichlet,1.0,10,0.7726472181065772,0.011313053780176647,0.7656449485280526,19811.0988,119.14447794057988,10458.102651943804,255.81689591123305,1.583909928919089
mamba,fedadam,dirichlet,5.0,10,0.7654761868409908,0.0063072770105702634,0.7574085855216471,19603.904300000002,92.37102717849913,10404.994281587828,255.4112823612136,1.5561281734042698
mamba,fedadam,iid,,10,0.9238435872041462,0.000658271865387119,0.9185766420294252,19628.225599999998,69.074498557233,10475.263279645656,217.8577955208159,1.5554849000892255
mamba,fedavg,dirichlet,0.05,10,0.8785521375147471,0.01329011343509424,0.8686120610758925,20581.8701,327.19186599420055,10549.186820554662,311.5285053279012,1.6780596492266415
mamba,fedavg,dirichlet,0.1,10,0.8572021121495809,0.025157101051258037,0.8524473529921082,20126.126800000002,339.5159650259633,10559.220856397485,309.4460303646972,1.631320322161973
mamba,fedavg,dirichlet,0.5,10,0.7876392724242841,0.0226851544943283,0.7816098820025259,19832.262,105.19603258572909,10476.394773186277,280.77421603434834,1.5829711208439836
mamba,fedavg,dirichlet,1.0,10,0.7663972342974686,0.00990186989787546,0.7560761601922203,19840.9047,101.78535649542155,10521.998443071388,211.84831742967694,1.5789318896303273
mamba,fedavg,dirichlet,5.0,10,0.7564489008064951,0.005812614293351111,0.7489631465523385,19693.4139,52.192557505729575,10402.976805970573,334.846900364293,1.5604397176492095
mamba,fedavg,iid,,10,0.9222288280124105,0.0004547316970293114,0.9165260399933169,19646.500200000002,121.6811346820492,10266.009556972016,341.03613887279135,1.5550606744457975
mamba,fedavg,per_bs_dirichlet,0.05,5,0.9147074155631936,0.00519960073676101,0.9087055487127846,69046.157,525.8773567320599,33130.20304055357,18794.045241481603,5.182378889815976
mamba,fedavg,per_bs_dirichlet,0.5,5,0.8968141902302106,0.0051338314460761215,0.8883569847514744,69424.8058,401.27297750434,40970.27460422921,6450.373958033541,5.184362170190522
mamba,fedavg,per_bs_dirichlet,5.0,5,0.8577781728095959,0.006941524941912472,0.850904094669511,69338.60260000001,403.0945624618322,45158.386981285286,2256.3961187799555,5.1995280944939815
mamba,fedavg,per_bs_dirichlet,10.0,5,0.8456177336742681,0.005777972419337017,0.8363575583297539,69287.7562,420.0479884235892,42872.81636152575,4443.135455952095,5.192180505425039
mamba,fedavg,random_split,,5,0.7514538104282531,0.0037304912544914837,0.7446681029866433,55983.3084,14974.564110840318,23115.21967594693,20161.077697481705,5.483417598647301
mamba,feddyn,dirichlet,0.05,10,0.8437275335850554,0.06097654352966882,0.8313555802847347,23178.2655,608.2053381236096,11055.412246112299,253.50140066146582,2.0664313942495016
mamba,feddyn,dirichlet,0.1,10,0.8418153028375699,0.031550665889195285,0.8365770933610264,22529.5824,494.1154449750926,10972.113194108857,224.83729714247107,1.976431831205734
