name,arch,algorithm,partition_mode,alpha,n_clients,seed,lr,lr_warmup_rounds,test_auc,test_acc,test_f1,best_val_auc,duration_s,status
v7_lstm_fedbn_iid_n7_s42,lstm,fedbn,iid,,7,42,0.0005,3,0.9161524843636635,0.8456255682360707,0.7655532332756441,0.9225037763550811,208.9,ok
v7_lstm_fedbn_iid_n7_s0,lstm,fedbn,iid,,7,0,0.0005,3,0.9164104275145549,0.8480173491034844,0.767215074471814,0.9212634012018684,203.06,ok
v7_lstm_fedbn_iid_n7_s1,lstm,fedbn,iid,,7,1,0.0005,3,0.9149700351068929,0.8420070201804241,0.7629794730904961,0.920712815903038,201.04,ok
v7_lstm_fedbn_iid_n7_s2,lstm,fedbn,iid,,7,2,0.0005,3,0.9156521688036081,0.8434678279785949,0.7643514822169898,0.920809596096001,199.89,ok
v7_lstm_fedbn_iid_n7_s3,lstm,fedbn,iid,,7,3,0.0005,3,0.9157104467955532,0.8408378550048365,0.7629757170435102,0.9215462966662853,198.16,ok
v7_lstm_fedbn_iid_n7_s4,lstm,fedbn,iid,,7,4,0.0005,3,0.916012294710011,0.8434833960901207,0.7643093696422404,0.9210791406282433,198.35,ok
v7_lstm_fedbn_iid_n7_s5,lstm,fedbn,iid,,7,5,0.0005,3,0.9156773353866667,0.8443982821107868,0.7647865878770336,0.9206892551729884,198.31,ok
v7_lstm_fedbn_iid_n7_s6,lstm,fedbn,iid,,7,6,0.0005,3,0.9162511821793881,0.8467428397065723,0.7666761208993582,0.9214647233198396,197.45,ok
v7_lstm_fedbn_iid_n7_s7,lstm,fedbn,iid,,7,7,0.0005,3,0.9162834740530691,0.8474537834662504,0.7667571468357464,0.92164482207831,199.55,ok
v7_lstm_fedbn_iid_n7_s8,lstm,fedbn,iid,,7,8,0.0005,3,0.9159272338614873,0.8474013708241136,0.7661595325417249,0.9220149474546854,199.64,ok
v7_mamba_fedbn_iid_n7_s42,mamba,fedbn,iid,,7,42,0.0005,3,0.9162356686767499,0.8499820447780403,0.7664088779930461,0.9222177235192004,194.49,ok
v7_mamba_fedbn_iid_n7_s0,mamba,fedbn,iid,,7,0,0.0005,3,0.9165346069368493,0.8447983825769999,0.7645467614118566,0.9220270609288227,193.95,ok
v7_mamba_fedbn_iid_n7_s1,mamba,fedbn,iid,,7,1,0.0005,3,0.9155378979695719,0.8442970893858691,0.7636388844686794,0.9218980287003484,194.29,ok
v7_mamba_fedbn_iid_n7_s2,mamba,fedbn,iid,,7,2,0.0005,3,0.9171746199338074,0.8435134944390705,0.7652948446932314,0.9224008597739639,194.71,ok
v7_mamba_fedbn_iid_n7_s3,mamba,fedbn,iid,,7,3,0.0005,3,0.9165350256742038,0.8469317327930853,0.7651232771340684,0.9220925152268258,194.17,ok
v7_mamba_fedbn_iid_n7_s4,mamba,fedbn,iid,,7,4,0.0005,3,0.9161949386164958,0.840613674198865,0.7623737557387272,0.9215957287988383,194.43,ok
v7_mamba_fedbn_iid_n7_s5,mamba,fedbn,iid,,7,5,0.0005,3,0.9162386704256296,0.8440360640492865,0.7641742981410615,0.9222727184737076,193.87,ok
v7_mamba_fedbn_iid_n7_s6,mamba,fedbn,iid,,7,6,0.0005,3,0.9163693844170961,0.8452747667896894,0.7653315493290307,0.922130569732747,194.43,ok
v7_mamba_fedbn_iid_n7_s7,mamba,fedbn,iid,,7,7,0.0005,3,0.9169409243303798,0.8495051416282999,0.7674497300868918,0.9223331670166066,194.52,ok
v7_mamba_fedbn_iid_n7_s8,mamba,fedbn,iid,,7,8,0.0005,3,0.917510034121326,0.846647355289214,0.7665554661141134,0.9233310274077425,195.02,ok
v7_spiking_expand2_fedbn_iid_n7_s42,spiking_expand2,fedbn,iid,,7,42,0.0005,3,0.8502373427331207,0.745137559833442,0.6654217959111377,0.8569339116804263,463.21,ok
v7_spiking_expand2_fedbn_iid_n7_s0,spiking_expand2,fedbn,iid,,7,0,0.0005,3,0.856746673169492,0.7881029529593943,0.6796472368692547,0.8606326039681579,464.18,ok
v7_spiking_expand2_fedbn_iid_n7_s1,spiking_expand2,fedbn,iid,,7,1,0.0005,3,0.8414694006002092,0.7594539951925672,0.6564257114437301,0.8450713896595746,461.32,ok
v7_spiking_expand2_fedbn_iid_n7_s2,spiking_expand2,fedbn,iid,,7,2,0.0005,3,0.8677790017875238,0.7882825051789918,0.6917703018888166,0.8738525169181162,459.64,ok
v7_spiking_expand2_fedbn_iid_n7_s3,spiking_expand2,fedbn,iid,,7,3,0.0005,3,0.850631468098512,0.75913588678039,0.6695472328125389,0.8571468038352572,461.44,ok
v7_spiking_expand2_fedbn_iid_n7_s4,spiking_expand2,fedbn,iid,,7,4,0.0005,3,0.8530503243032013,0.7737055634203348,0.6785253270051759,0.8586975619840708,461.2,ok
v7_spiking_expand2_fedbn_iid_n7_s5,spiking_expand2,fedbn,iid,,7,5,0.0005,3,0.8459454544662224,0.7548188494542858,0.6651172417117106,0.8520661928828722,465.58,ok
v7_spiking_expand2_fedbn_iid_n7_s6,spiking_expand2,fedbn,iid,,7,6,0.0005,3,0.8498666082048749,0.7457960909509833,0.6629061548847314,0.8572552287995077,464.24,ok
v7_spiking_expand2_fedbn_iid_n7_s7,spiking_expand2,fedbn,iid,,7,7,0.0005,3,0.8587431101478626,0.7912279918796731,0.6860486440549667,0.8646890768792321,462.47,ok
v7_spiking_expand2_fedbn_iid_n7_s8,spiking_expand2,fedbn,iid,,7,8,0.0005,3,0.8590003916768119,0.7769805751483122,0.6821691323293191,0.8657975052217551,462.15,ok
