name,arch,algorithm,partition_mode,alpha,n_clients,seed,lr,lr_warmup_rounds,test_auc,test_acc,test_f1,best_val_auc,duration_s,status
v7_lstm_fedavg_iid_n7_s0,lstm,fedavg,iid,,7,0,0.0005,3,0.9163866129597118,0.8464709166919216,0.7663581219442661,0.9218623886189987,208.61,ok
v7_lstm_fedavg_iid_n7_s1,lstm,fedavg,iid,,7,1,0.0005,3,0.9169479825327733,0.8445892509455033,0.7661283206055007,0.9220796485859938,199.93,ok
v7_lstm_fedavg_iid_n7_s2,lstm,fedavg,iid,,7,2,0.0005,3,0.9169821276867685,0.8459561311374685,0.7665698120181023,0.9223358015588488,199.08,ok
v7_lstm_fedavg_iid_n7_s3,lstm,fedavg,iid,,7,3,0.0005,3,0.9163958067267329,0.8501039949849923,0.7672031528300518,0.9217323741395496,198.81,ok
v7_lstm_fedavg_iid_n7_s4,lstm,fedavg,iid,,7,4,0.0005,3,0.9167094201477332,0.8497184247562034,0.7685966856656117,0.9223646094605129,198.95,ok
v7_lstm_fedavg_iid_n7_s5,lstm,fedavg,iid,,7,5,0.0005,3,0.9161011893036188,0.8448040908845593,0.764804464440895,0.9216233343882335,198.55,ok
v7_lstm_fedavg_iid_n7_s6,lstm,fedavg,iid,,7,6,0.0005,3,0.9163229204586683,0.8492576086550397,0.7676502183255919,0.9219657487616814,200.15,ok
v7_lstm_fedavg_iid_n7_s7,lstm,fedavg,iid,,7,7,0.0005,3,0.9164624706642508,0.8479083723228038,0.7670451971248959,0.9217957101447618,200.13,ok
v7_lstm_fedavg_iid_n7_s8,lstm,fedavg,iid,,7,8,0.0005,3,0.9158788468472353,0.8462057398589321,0.7655596637698219,0.9218894095454963,202.77,ok
v7_lstm_fedavg_iid_n7_s42,lstm,fedavg,iid,,7,42,0.0005,3,0.9171920350358505,0.8483588096829502,0.7674434336384321,0.922642214256326,204.22,ok
